(114, 0) U (35, 50) D
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 37) R (199, 112) L
(188, 100) U (149, 61) L
(149, 46) R (199, 103) L
(181, 100) U (149, 68) L
(149, 60) R (189, 100) D
(199, 124) R (149, 25) L
(100, 39) L (89, 50) D
(97, 50) U (100, 47) R
(100, 43) L (93, 50) D
(100, 47) L (97, 50) D
(97, 50) U (100, 47) R
(88, 50) U (100, 38) R
(114, 0) U (35, 50) D
(68, 50) U (100, 18) R
(131, 0) U (18, 50) D
(14, 50) U (135, 0) D
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 29) R (199, 120) L
(149, 31) R (199, 118) L
(199, 112) R (149, 37) L
(131, 0) U (18, 50) D
(20, 50) U (129, 0) D
(127, 0) U (22, 50) D
(32, 50) U (117, 0) D
(113, 0) U (36, 50) D
(97, 50) U (100, 47) R
(74, 50) U (100, 24) R
(100, 24) L (74, 50) D
(54, 50) U (100, 4) R
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 7) L (57, 50) D
(100, 2) L (52, 50) D
(39, 99) D (110, 149) U
(100, 118) L (81, 99) U
(93, 99) D (100, 106) R
(149, 97) R (152, 100) D
(100, 122) L (77, 99) U
(84, 99) D (100, 115) R
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 127) L (72, 99) U
(100, 110) L (89, 99) U
(149, 69) R (180, 100) D
(199, 100) R (149, 49) L
(100, 19) L (69, 50) D
(70, 50) U (100, 20) R
(100, 24) L (74, 50) D
(64, 99) D (100, 135) R
(100, 105) L (94, 99) U
(100, 107) L (92, 99) U
(100, 107) L (92, 99) U
(149, 90) R (159, 100) D
(199, 124) R (149, 25) L
(137, 0) U (12, 50) D
(10, 50) U (139, 0) D
(106, 0) U (43, 50) D
(59, 50) U (100, 9) R
(100, 3) L (53, 50) D
(64, 50) U (100, 14) R
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(105, 0) U (44, 50) D
(100, 0) L (50, 50) D
(22, 50) U (127, 0) D
(131, 0) U (18, 50) D
(18, 50) U (131, 0) D
(132, 0) U (17, 50) D
(47, 50) U (102, 0) D
(100, 3) L (53, 50) D
(96, 50) U (100, 46) R
(149, 17) R (199, 132) L
(199, 110) R (149, 39) L
(88, 50) U (100, 38) R
(88, 50) U (100, 38) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(67, 50) U (100, 17) R
(63, 50) U (100, 13) R
(131, 0) U (18, 50) D
(18, 50) U (131, 0) D
(100, 5) L (55, 50) D
(100, 5) L (55, 50) D
(100, 5) L (55, 50) D
(100, 5) L (55, 50) D
(100, 19) L (69, 50) D
(49, 50) U (100, 0) D
(100, 0) L (50, 50) D
(149, 62) R (187, 100) D
(188, 100) U (149, 61) L
(149, 60) R (189, 100) D
(199, 105) R (149, 44) L
(149, 45) R (199, 104) L
(119, 149) D (30, 99) U
(31, 99) D (118, 149) U
(114, 149) D (35, 99) U
(0, 92) L (157, 149) U
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(166, 149) D (0, 83) R
(154, 100) U (149, 95) L
(149, 95) R (154, 100) D
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(166, 100) U (149, 83) L
(149, 97) R (152, 100) D
(155, 100) U (149, 94) L
(149, 94) R (155, 100) D
(176, 100) U (149, 73) L
(149, 53) R (196, 100) D
(184, 100) U (149, 65) L
(149, 65) R (184, 100) D
(199, 140) R (149, 9) L
(149, 0) U (0, 50) D
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 50) U (149, 0) D
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 2) R (199, 147) L
(149, 0) U (0, 50) D
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(0, 56) L (193, 149) U
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(16, 50) U (133, 0) D
(0, 50) L (199, 149) U
(199, 148) R (149, 1) L
(145, 0) U (4, 50) D
(0, 58) L (191, 149) U
(194, 149) D (0, 55) R
(3, 50) U (146, 0) D
(145, 0) U (4, 50) D
(56, 50) U (100, 6) R
(100, 6) L (56, 50) D
(3, 50) U (146, 0) D
(100, 36) L (86, 50) D
(74, 50) U (100, 24) R
(100, 16) L (66, 50) D
(56, 50) U (100, 6) R
(100, 6) L (56, 50) D
(64, 50) U (100, 14) R
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(111, 0) U (38, 50) D
(106, 0) U (43, 50) D
(22, 50) U (127, 0) D
(127, 0) U (22, 50) D
(13, 50) U (136, 0) D
(131, 0) U (18, 50) D
(0, 71) L (178, 149) U
(181, 149) D (0, 68) R
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(9, 50) U (140, 0) D
(10, 50) U (139, 0) D
(149, 3) R (199, 146) L
(199, 146) R (149, 3) L
(149, 3) R (199, 146) L
(199, 138) R (149, 11) L
(149, 36) R (199, 113) L
(195, 100) U (149, 54) L
(149, 18) R (199, 131) L
(195, 100) U (149, 54) L
